"timestamp","total_cpu_pct","pid","name","cpu_total_sec","handles","mem_mb","threads"
"2026-09-18T21:40:24.2786449+09:00","21","10144","Typeless","221.75","372","151.3","17"
"2026-09-18T21:40:24.2786449+09:00","21","66836","pythonw","213.81","1661","28.9","10"
"2026-09-18T21:40:24.2786449+09:00","21","23844","hbbr","213.5","100","1.8","9"
"2026-09-18T21:40:24.2786449+09:00","21","28796","codex","202.95","515","196.3","41"
"2026-09-18T21:40:24.2786449+09:00","21","45528","chrome","199.19","251","25.2","11"
"2026-09-18T21:40:24.2786449+09:00","21","85496","claude","198.03","316","280.6","22"
"2026-09-18T21:40:24.2786449+09:00","21","87380","claude","187.39","314","262.3","23"
"2026-09-18T21:40:24.2786449+09:00","21","75480","pythonw","185.72","803","29.7","5"
"2026-09-18T21:40:24.2786449+09:00","21","13816","python","180.44","237","32.5","2"
"2026-09-18T21:50:24.2709518+09:00","13","8136","pythonw","42770.55","285","42.4","14"
"2026-09-18T21:50:24.2709518+09:00","13","63384","python","6264.7","468","83.3","25"
"2026-09-18T21:50:24.2709518+09:00","13","17420","python","3260.19","312","34.1","13"
"2026-09-18T21:50:24.2709518+09:00","13","20908","Taskmgr","2749.58","1957","263.6","29"
"2026-09-18T21:50:24.2709518+09:00","13","22260","chrome","2033.34","384","221.3","22"
"2026-09-18T21:50:24.2709518+09:00","13","9292","claude","1965.31","312","117.9","22"
"2026-09-18T21:50:24.2709518+09:00","13","2784","ChatGPT","1515.66","2142","312","58"
"2026-09-18T21:50:24.2709518+09:00","13","14172","python","1221.95","220","35.8","3"
"2026-09-18T21:50:24.2709518+09:00","13","14180","python","1208.27","217","34.3","2"
"2026-09-18T21:50:24.2709518+09:00","13","73588","rustdesk","1132.06","857","118.6","54"
"2026-09-18T21:50:24.2709518+09:00","13","84348","claude","1129.61","530","627.2","21"
"2026-09-18T21:50:24.2709518+09:00","13","14196","thunderbird","1049.66","1437","439","70"
"2026-09-18T21:50:24.2709518+09:00","13","5008","ChatGPT","988.67","329","458","17"
"2026-09-18T21:50:24.2709518+09:00","13","67016","chrome","925.05","1075","157.8","50"
"2026-09-18T21:50:24.2709518+09:00","13","69788","claude","834.77","826","165.4","35"
"2026-09-18T21:50:24.2709518+09:00","13","19092","chrome","830.58","2648","332.9","45"
"2026-09-18T21:50:24.2709518+09:00","13","37000","ChatGPT","825.52","846","89.5","39"
"2026-09-18T21:50:24.2709518+09:00","13","3032","rustdesk","732.94","272","24","12"
"2026-09-18T21:50:24.2709518+09:00","13","60496","claude","604.53","2026","420.3","68"
"2026-09-18T21:50:24.2709518+09:00","13","48048","chrome","497.69","773","61.7","18"
"2026-09-18T21:50:24.2709518+09:00","13","52816","python","484.39","333","36.8","17"
"2026-09-18T21:50:24.2709518+09:00","13","51064","WindowsTerminal","418.83","1109","200.2","53"
"2026-09-18T21:50:24.2709518+09:00","13","76500","pythonw","358.84","437","24.4","14"
"2026-09-18T21:50:24.2709518+09:00","13","69260","claude","347.14","307","519.2","22"
"2026-09-18T21:50:24.2709518+09:00","13","37520","caddy","338.25","421","44.4","15"
"2026-09-18T21:50:24.2709518+09:00","13","66092","explorer","305.61","4967","300.9","121"
"2026-09-18T21:50:24.2709518+09:00","13","22396","sakura","302.19","311","21.8","4"
"2026-09-18T21:50:24.2709518+09:00","13","27244","OneDrive.Sync.Service","265.31","629","33.2","20"
"2026-09-18T21:50:24.2709518+09:00","13","17552","python","260.77","225","26.3","5"
"2026-09-18T21:50:24.2709518+09:00","13","6992","ctfmon","238.22","897","116.2","17"
"2026-09-18T21:50:24.2709518+09:00","13","10144","Typeless","232.05","372","151.3","17"
"2026-09-18T21:50:24.2709518+09:00","13","8120","taskhostw","226.61","317","21.1","8"
"2026-09-18T21:50:24.2709518+09:00","13","66836","pythonw","219.22","1661","28.9","10"
"2026-09-18T21:50:24.2709518+09:00","13","23844","hbbr","213.52","100","1.8","9"
"2026-09-18T21:50:24.2709518+09:00","13","28796","codex","203.11","515","196.4","42"
"2026-09-18T21:50:24.2709518+09:00","13","85496","claude","201.78","313","280.8","21"
"2026-09-18T21:50:24.2709518+09:00","13","45528","chrome","199.19","251","25.2","11"
"2026-09-18T21:50:24.2709518+09:00","13","87380","claude","191.41","312","262.4","22"
"2026-09-18T21:50:24.2709518+09:00","13","75480","pythonw","186.28","803","29.8","5"
"2026-09-18T21:50:24.2709518+09:00","13","13816","python","180.84","235","32.6","2"
"2026-09-18T22:00:33.3767060+09:00","97","8136","pythonw","42787.73","324","55.4","15"
"2026-09-18T22:00:33.3767060+09:00","97","63384","python","6275.78","440","73","24"
"2026-09-18T22:00:33.3767060+09:00","97","17420","python","3266.23","324","34.2","15"
"2026-09-18T22:00:33.3767060+09:00","97","20908","Taskmgr","2773.45","1959","264.8","29"
"2026-09-18T22:00:33.3767060+09:00","97","9292","claude","2047.8","327","254.9","24"
"2026-09-18T22:00:33.3767060+09:00","97","22260","chrome","2033.39","384","222.3","22"
"2026-09-18T22:00:33.3767060+09:00","97","2784","ChatGPT","1538.41","2137","311.4","58"
"2026-09-18T22:00:33.3767060+09:00","97","14172","python","1225.14","218","33","3"
"2026-09-18T22:00:33.3767060+09:00","97","14180","python","1211.64","216","33.8","2"
"2026-09-18T22:00:33.3767060+09:00","97","84348","claude","1154.03","510","646.4","21"
"2026-09-18T22:00:33.3767060+09:00","97","73588","rustdesk","1137.2","857","118.6","54"
"2026-09-18T22:00:33.3767060+09:00","97","14196","thunderbird","1052.08","1431","439.3","69"
"2026-09-18T22:00:33.3767060+09:00","97","5008","ChatGPT","988.97","329","460.2","17"
"2026-09-18T22:00:33.3767060+09:00","97","67016","chrome","925.12","1073","157.8","50"
"2026-09-18T22:00:33.3767060+09:00","97","69788","claude","850.55","824","165.5","35"
